jobss,,,,,,,
Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Digital Media Planner,5 - 10 ," Media Planning, Digital Media",Advertising,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager
 Online Bidding Executive,2 - 5 ," pre sales, closing, software knowledge, clients, requirements, negotiating, client, online bidding, good communication, technology",Retail Sales,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 ," Computer science, Fabrication, Quality check, Intellectual property, Electronics, Support services, Research, Management, Human resource management, Research Executive",R&D,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive
 Technical Support,0 - 5 , Technical Support,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
 Software Test Engineer -hyderabad,2 - 5 ," manual testing, test engineering, test cases, web testing, web technologies",Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Opening For Adobe Analytics Specialist,5 - 7 ," adobe experience manager, digital, digital marketing, adobe analytics, data analytics, aem, adobe, sitecatalyst",Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
 Sales- Fresher-for Leading Property Consultant,0 - 0 ," channel partners, real estate, negotiation, property, Residential Sales",Retail Sales,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
 Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 ," TFS, Azure, Git, VSTS, Docker, DynaTrace, Splunk, AWS",Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
 BDE- PUNE,2 - 7 , Bde,Institutional Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
 Technical Support/ Product Support,1 - 5 ," technical support, support services, application support, communication skills, voice based process, semi voice, semi voice process",Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Executive Assistant To Chairman,5 - 10 ," secretary, executive assistant, ea",Corporate Planning/Consulting/Strategy,Mumbai,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager
 SEO Executive,1 - 6 ," website, web analytics, xml, link building, google analytics, case studies, seo, social media, tracking, maintaining",Admin/Maintenance/Security/Datawarehousing,"Noida,Delhi,Noida/Greater Noida","IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
 Workflow Coordinator,2 - 7 ," operations, workflow, tat, monitoring, mts, email",Operations,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst
Oracle IDAM,3 - 7 ,"Oracle IDAM,OIM,OAM",Programming & Design,"Bengaluru,Hyderabad,Kolkata,Chennai","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 ," digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager
 Wanted Engineering Fresher For MNC Chennai,0 - 1 ," instrumentation engineering, electrical engineering, Engineering, fresher, Trainee, immediate, Mechanical Engineering, electronics engineering, undergraduate",,Chennai,Other,Other,Other
 Tooling &amp; Sampling,2 - 7 ," Help Desk, Customer Service, customer relationship, access controls, Asset Management, Vendor Management",Engineering Design,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer
 Account Manager,3 - 7 ," Report Generation, Policies, analytical, procedures, Analysts, Data Entry, analytical skills",Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
 Magento Developer,2 - 7 ,"Copyright, Email, jQuery, XML, Javascript, CakePHP, Customer service, Open source, Facebook, CSS3",Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer
